Start Time,End Time,Open,High,Low,Close,Vol,Vol-Avg,Range,POC,VA High,VA Low,VA Range,TPO T,TPO AB,TPO BL,SF,TFF,RF,VTY,Dist(s),Bracket UL,Bracket UO,Bracket UQ,Bracket MID,Bracket LQ,Bracket LO,Bracket LL,Q1 TPO,Q2 TPO,Q3 TPO,Q4 TPO,Datetime,ULBreakoutPL,ULBreakout
2004.06.21 00:00,2004.06.25 23:30,1.21308,1.2191100000000001,1.2038,1.2172,6786245,1357249,153.1,1.2091,1.215,1.2078,72.0,2164,1587,514,3.09,5.62,-1,16.1,1.0,1.219,1.21718,1.21535,1.2117,1.20805,1.20622,1.2044,392,640,880,248,2004-06-25 23:30:00,36.50000000000153,1
2004.07.05 00:00,2004.07.09 23:30,1.23205,1.2422,1.22638,1.24104,6740074,1348015,158.2,1.2287,1.237,1.2266,104.0,1947,1621,273,5.94,4.87,1,14.4,1.0,1.242,1.2400799999999998,1.23815,1.2343,1.23045,1.22852,1.2266,438,552,345,608,2004-07-09 23:30:00,-38.49999999999909,2
2004.07.09 00:00,2004.07.15 23:30,1.2378200000000001,1.2435,1.22979,1.23512,6789272,1357854,137.1,1.2407,1.2416,1.2356,60.0,1893,236,1597,0.15,5.41,9,13.9,1.0,1.2434,1.2417200000000002,1.24005,1.2367,1.23335,1.2316799999999999,1.23,451,788,435,214,2004-07-15 23:30:00,-33.49999999999964,2
2004.07.12 00:00,2004.07.16 23:30,1.2406,1.24579,1.22979,1.24518,6777854,1355571,160.0,1.2369,1.2408,1.2336,72.0,1906,970,880,1.1,4.71,10,14.0,1.0,1.2456,1.24365,1.2417,1.2378,1.2339,1.23195,1.23,185,608,813,295,2004-07-16 23:30:00,-39.00000000000014,2
2004.08.09 00:00,2004.08.13 23:30,1.22805,1.2375399999999999,1.2175,1.23704,6757623,1351525,200.4,1.2231,1.228,1.2214,66.0,1834,1281,485,2.64,3.63,33,13.4,1.0,1.2376,1.23517,1.23275,1.2279,1.22305,1.2206299999999999,1.2182,123,246,977,483,2004-08-13 23:30:00,-48.500000000000206,2
2004.08.24 00:00,2004.08.30 23:30,1.2138,1.21656,1.19849,1.20445,6759076,1351815,180.7,1.2081,1.212,1.2036,84.0,1968,976,930,1.05,4.33,-14,14.5,1.0,1.2162,1.21405,1.2119,1.2076,1.2033,1.20115,1.199,282,865,529,283,2004-08-30 23:30:00,42.9999999999997,1
2004.09.23 00:00,2004.09.29 23:30,1.2263700000000002,1.23595,1.22363,1.23274,6733645,1346729,123.2,1.2317,1.2326,1.227,56.0,1842,344,1424,0.24,5.94,19,13.5,1.0,1.2346,1.23335,1.2321,1.2296,1.2271,1.22585,1.2246,283,642,536,367,2004-09-29 23:30:00,24.999999999999467,1
2004.10.08 00:00,2004.10.14 23:30,1.22797,1.24317,1.2225700000000002,1.2382,6724985,1344997,206.0,1.2313,1.2388,1.2284,104.0,1769,1270,447,2.84,3.4,19,12.8,1.0,1.2424,1.2400799999999998,1.23775,1.2331,1.22845,1.22612,1.2238,540,483,606,121,2004-10-14 23:30:00,46.500000000000426,1
2004.10.27 00:00,2004.11.02 23:30,1.27599,1.28298,1.26405,1.27413,6681501,1336300,189.3,1.2743,1.276,1.2698,62.0,2066,875,1100,0.8,4.35,-5,15.4,1.0,1.2826,1.28055,1.2785,1.2744,1.2703,1.26825,1.2662,163,712,922,253,2004-11-02 23:30:00,40.99999999999992,1
2004.10.28 00:00,2004.11.03 23:30,1.27054,1.28298,1.26405,1.28187,6692534,1338507,189.3,1.2743,1.2758,1.2686,72.0,2182,821,1275,0.64,4.59,2,16.3,1.0,1.2826,1.2804799999999998,1.27835,1.2741,1.26985,1.26773,1.2656,268,700,870,332,2004-11-03 23:30:00,42.49999999999865,1
